thread count = 1, read = 0, write = 0, insert = 100, throughput = 4.7 M ops
thread count = 8, read = 0, write = 0, insert = 100, throughput = 22.4 M ops
thread count = 16, read = 0, write = 0, insert = 100, throughput = 26.6 M ops
thread count = 24, read = 0, write = 0, insert = 100, throughput = 26.5 M ops
thread count = 32, read = 0, write = 0, insert = 100, throughput = 26.5 M ops
thread count = 40, read = 0, write = 0, insert = 100, throughput = 26.5 M ops
thread count = 1, read = 0, write = 20, insert = 80, throughput = 4.9 M ops
thread count = 8, read = 0, write = 20, insert = 80, throughput = 23.6 M ops
thread count = 16, read = 0, write = 20, insert = 80, throughput = 33.5 M ops
thread count = 24, read = 0, write = 20, insert = 80, throughput = 33.5 M ops
thread count = 32, read = 0, write = 20, insert = 80, throughput = 33.5 M ops
thread count = 40, read = 0, write = 20, insert = 80, throughput = 33.5 M ops
thread count = 1, read = 0, write = 80, insert = 20, throughput = 7.2 M ops
thread count = 8, read = 0, write = 80, insert = 20, throughput = 28.3 M ops
thread count = 16, read = 0, write = 80, insert = 20, throughput = 54.1 M ops
thread count = 24, read = 0, write = 80, insert = 20, throughput = 77.7 M ops
thread count = 32, read = 0, write = 80, insert = 20, throughput = 102.8 M ops
thread count = 40, read = 0, write = 80, insert = 20, throughput = 120.0 M ops
thread count = 1, read = 20, write = 0, insert = 80, throughput = 5.3 M ops
thread count = 8, read = 20, write = 0, insert = 80, throughput = 24.1 M ops
thread count = 16, read = 20, write = 0, insert = 80, throughput = 33.5 M ops
thread count = 24, read = 20, write = 0, insert = 80, throughput = 33.5 M ops
thread count = 32, read = 20, write = 0, insert = 80, throughput = 33.5 M ops
thread count = 40, read = 20, write = 0, insert = 80, throughput = 33.5 M ops
thread count = 1, read = 80, write = 0, insert = 20, throughput = 9.2 M ops
thread count = 8, read = 80, write = 0, insert = 20, throughput = 30.7 M ops
thread count = 16, read = 80, write = 0, insert = 20, throughput = 59.8 M ops
thread count = 24, read = 80, write = 0, insert = 20, throughput = 87.7 M ops
thread count = 32, read = 80, write = 0, insert = 20, throughput = 113.6 M ops
thread count = 40, read = 80, write = 0, insert = 20, throughput = 133.9 M ops
thread count = 1, read = 20, write = 80, insert = 0, throughput = 14.4 M ops
thread count = 8, read = 20, write = 80, insert = 0, throughput = 36.3 M ops
thread count = 16, read = 20, write = 80, insert = 0, throughput = 68.5 M ops
thread count = 24, read = 20, write = 80, insert = 0, throughput = 98.7 M ops
thread count = 32, read = 20, write = 80, insert = 0, throughput = 126.0 M ops
thread count = 40, read = 20, write = 80, insert = 0, throughput = 150.6 M ops
thread count = 1, read = 80, write = 20, insert = 0, throughput = 15.8 M ops
thread count = 8, read = 80, write = 20, insert = 0, throughput = 38.9 M ops
thread count = 16, read = 80, write = 20, insert = 0, throughput = 73.6 M ops
thread count = 24, read = 80, write = 20, insert = 0, throughput = 106.0 M ops
thread count = 32, read = 80, write = 20, insert = 0, throughput = 135.7 M ops
thread count = 40, read = 80, write = 20, insert = 0, throughput = 163.1 M ops
