thread count = 1, read = 0, write = 0, insert = 100, throughput = 6.0 M ops
thread count = 8, read = 0, write = 0, insert = 100, throughput = 22.3 M ops
thread count = 16, read = 0, write = 0, insert = 100, throughput = 40.4 M ops
thread count = 24, read = 0, write = 0, insert = 100, throughput = 51.6 M ops
thread count = 32, read = 0, write = 0, insert = 100, throughput = 54.9 M ops
thread count = 40, read = 0, write = 0, insert = 100, throughput = 59.7 M ops
thread count = 1, read = 0, write = 20, insert = 80, throughput = 6.3 M ops
thread count = 8, read = 0, write = 20, insert = 80, throughput = 23.4 M ops
thread count = 16, read = 0, write = 20, insert = 80, throughput = 43.1 M ops
thread count = 24, read = 0, write = 20, insert = 80, throughput = 59.5 M ops
thread count = 32, read = 0, write = 20, insert = 80, throughput = 62.7 M ops
thread count = 40, read = 0, write = 20, insert = 80, throughput = 69.3 M ops
thread count = 1, read = 0, write = 80, insert = 20, throughput = 7.9 M ops
thread count = 8, read = 0, write = 80, insert = 20, throughput = 28.0 M ops
thread count = 16, read = 0, write = 80, insert = 20, throughput = 55.2 M ops
thread count = 24, read = 0, write = 80, insert = 20, throughput = 77.7 M ops
thread count = 32, read = 0, write = 80, insert = 20, throughput = 77.8 M ops
thread count = 40, read = 0, write = 80, insert = 20, throughput = 83.4 M ops
thread count = 1, read = 20, write = 0, insert = 80, throughput = 6.7 M ops
thread count = 8, read = 20, write = 0, insert = 80, throughput = 24.0 M ops
thread count = 16, read = 20, write = 0, insert = 80, throughput = 44.9 M ops
thread count = 24, read = 20, write = 0, insert = 80, throughput = 61.8 M ops
thread count = 32, read = 20, write = 0, insert = 80, throughput = 75.2 M ops
thread count = 40, read = 20, write = 0, insert = 80, throughput = 88.4 M ops
thread count = 1, read = 80, write = 0, insert = 20, throughput = 10.4 M ops
thread count = 8, read = 80, write = 0, insert = 20, throughput = 30.5 M ops
thread count = 16, read = 80, write = 0, insert = 20, throughput = 57.6 M ops
thread count = 24, read = 80, write = 0, insert = 20, throughput = 81.9 M ops
thread count = 32, read = 80, write = 0, insert = 20, throughput = 92.3 M ops
thread count = 40, read = 80, write = 0, insert = 20, throughput = 102.3 M ops
thread count = 1, read = 20, write = 80, insert = 0, throughput = 15.5 M ops
thread count = 8, read = 20, write = 80, insert = 0, throughput = 36.6 M ops
thread count = 16, read = 20, write = 80, insert = 0, throughput = 69.0 M ops
thread count = 24, read = 20, write = 80, insert = 0, throughput = 99.3 M ops
thread count = 32, read = 20, write = 80, insert = 0, throughput = 126.0 M ops
thread count = 40, read = 20, write = 80, insert = 0, throughput = 150.8 M ops
thread count = 1, read = 80, write = 20, insert = 0, throughput = 17.0 M ops
thread count = 8, read = 80, write = 20, insert = 0, throughput = 39.4 M ops
thread count = 16, read = 80, write = 20, insert = 0, throughput = 74.5 M ops
thread count = 24, read = 80, write = 20, insert = 0, throughput = 107.1 M ops
thread count = 32, read = 80, write = 20, insert = 0, throughput = 136.6 M ops
thread count = 40, read = 80, write = 20, insert = 0, throughput = 163.4 M ops
